data;produto;operacao_comercial;importado/exportado;dispendio/receita
01/07/2015;ETANOL HIDRATADO;IMPORTAÇÃO;95971;253268
01/07/2015;ETANOL ANIDRO;IMPORTAÇÃO;1302159;5579315
01/07/2015;ETANOL ANIDRO;EXPORTAÇÃO;73306213;36680296
01/07/2015;ETANOL HIDRATADO;EXPORTAÇÃO;140172215;63301675
01/08/2015;ETANOL HIDRATADO;IMPORTAÇÃO;73264;224742
01/08/2015;ETANOL ANIDRO;IMPORTAÇÃO;13275762;6219563
01/08/2015;ETANOL HIDRATADO;EXPORTAÇÃO;72711237;31369174
01/08/2015;ETANOL ANIDRO;EXPORTAÇÃO;124317327;58690675
01/09/2015;ETANOL ANIDRO;IMPORTAÇÃO;6837;34328
01/09/2015;ETANOL HIDRATADO;IMPORTAÇÃO;25186;33874
01/09/2015;ETANOL HIDRATADO;EXPORTAÇÃO;52264181;22884951
01/09/2015;ETANOL ANIDRO;EXPORTAÇÃO;121637537;54271460
01/10/2015;ETANOL HIDRATADO;IMPORTAÇÃO;48369;84710
01/10/2015;ETANOL ANIDRO;IMPORTAÇÃO;9606223;4712712
01/10/2015;ETANOL HIDRATADO;EXPORTAÇÃO;107861466;44830019
01/10/2015;ETANOL ANIDRO;EXPORTAÇÃO;152142464;66678350
01/11/2015;ETANOL HIDRATADO;IMPORTAÇÃO;24075;96180
01/11/2015;ETANOL ANIDRO;IMPORTAÇÃO;9947851;3815918
01/11/2015;ETANOL HIDRATADO;EXPORTAÇÃO;82277943;34867767
01/11/2015;ETANOL ANIDRO;EXPORTAÇÃO;112595371;47616131
01/12/2015;ETANOL ANIDRO;IMPORTAÇÃO;13016568;6178983
01/12/2015;ETANOL ANIDRO;EXPORTAÇÃO;115548459;53361726
01/12/2015;ETANOL HIDRATADO;EXPORTAÇÃO;171143391;72104887
01/12/2015;ETANOL HIDRATADO;IMPORTAÇÃO;1;10223
01/01/2016;ETANOL HIDRATADO;IMPORTAÇÃO;1231;9583
01/01/2016;ETANOL ANIDRO;IMPORTAÇÃO;28766363;13572525
01/01/2016;ETANOL ANIDRO;EXPORTAÇÃO;46359072;22874350
01/01/2016;ETANOL HIDRATADO;EXPORTAÇÃO;73399284;32986682
01/02/2016;ETANOL ANIDRO;IMPORTAÇÃO;32953327;14085780
01/02/2016;ETANOL HIDRATADO;EXPORTAÇÃO;192061229;87218423
01/02/2016;ETANOL HIDRATADO;IMPORTAÇÃO;1;14797
01/02/2016;ETANOL ANIDRO;EXPORTAÇÃO;113699;63768557
01/03/2016;ETANOL HIDRATADO;EXPORTAÇÃO;75194772;34167530
01/03/2016;ETANOL ANIDRO;IMPORTAÇÃO;81445389;35309872
01/03/2016;ETANOL ANIDRO;EXPORTAÇÃO;132816124;71913047
01/03/2016;ETANOL HIDRATADO;IMPORTAÇÃO;48;68279
01/04/2016;ETANOL HIDRATADO;IMPORTAÇÃO;25225;98103
01/04/2016;ETANOL HIDRATADO;EXPORTAÇÃO;21283088;10592562
01/04/2016;ETANOL ANIDRO;EXPORTAÇÃO;51026624;28440595
01/04/2016;ETANOL ANIDRO;IMPORTAÇÃO;82799149;34069331
01/05/2016;ETANOL HIDRATADO;EXPORTAÇÃO;59300976;27273899
01/05/2016;ETANOL ANIDRO;EXPORTAÇÃO;60126545;27824721
01/05/2016;ETANOL ANIDRO;IMPORTAÇÃO;37268;16049232
01/05/2016;ETANOL HIDRATADO;IMPORTAÇÃO;48;182954
01/06/2016;ETANOL HIDRATADO;IMPORTAÇÃO;1872;14346
01/06/2016;ETANOL ANIDRO;IMPORTAÇÃO;37670576;17882027
01/06/2016;ETANOL ANIDRO;EXPORTAÇÃO;116791439;51480443
01/06/2016;ETANOL HIDRATADO;EXPORTAÇÃO;141364399;61549981
01/07/2016;ETANOL HIDRATADO;IMPORTAÇÃO;49877;108396
01/07/2016;ETANOL ANIDRO;IMPORTAÇÃO;54968909;27818455
01/07/2016;ETANOL HIDRATADO;EXPORTAÇÃO;94266978;44163999
01/07/2016;ETANOL ANIDRO;EXPORTAÇÃO;125473169;61031166
01/08/2016;ETANOL HIDRATADO;EXPORTAÇÃO;58584587;28598431
01/08/2016;ETANOL ANIDRO;IMPORTAÇÃO;74007333;37756257
01/08/2016;ETANOL HIDRATADO;IMPORTAÇÃO;1;7513
01/08/2016;ETANOL ANIDRO;EXPORTAÇÃO;110414;59457058
01/09/2016;ETANOL HIDRATADO;IMPORTAÇÃO;25016;39994
01/09/2016;ETANOL ANIDRO;EXPORTAÇÃO;19504601;11109733
01/09/2016;ETANOL ANIDRO;IMPORTAÇÃO;52449822;25887538
01/09/2016;ETANOL HIDRATADO;EXPORTAÇÃO;126300867;62740486
01/10/2016;ETANOL HIDRATADO;EXPORTAÇÃO;22454195;12381778
01/10/2016;ETANOL ANIDRO;EXPORTAÇÃO;43868612;27262247
01/10/2016;ETANOL ANIDRO;IMPORTAÇÃO;71982655;34016163
01/10/2016;ETANOL HIDRATADO;IMPORTAÇÃO;25;40681
01/11/2016;ETANOL HIDRATADO;IMPORTAÇÃO;1659;12144
01/11/2016;ETANOL ANIDRO;EXPORTAÇÃO;14293396;9898344
01/11/2016;ETANOL HIDRATADO;EXPORTAÇÃO;20054398;14908410
01/11/2016;ETANOL ANIDRO;IMPORTAÇÃO;137119429;68496883
01/12/2016;ETANOL ANIDRO;EXPORTAÇÃO;14293396;9898344
01/12/2016;ETANOL HIDRATADO;EXPORTAÇÃO;20054398;14908410
01/12/2016;ETANOL ANIDRO;IMPORTAÇÃO;140484525;69137941
01/12/2016;ETANOL HIDRATADO;IMPORTAÇÃO;0;5348
01/01/2017;ETANOL HIDRATADO;IMPORTAÇÃO;24402;31680
01/01/2017;ETANOL HIDRATADO;EXPORTAÇÃO;3195401;2167833
01/01/2017;ETANOL ANIDRO;EXPORTAÇÃO;101382186;69372810
01/01/2017;ETANOL ANIDRO;IMPORTAÇÃO;172451971;85920169
01/02/2017;ETANOL HIDRATADO;EXPORTAÇÃO;709738;586030
01/02/2017;ETANOL ANIDRO;EXPORTAÇÃO;60388737;42904259
01/02/2017;ETANOL ANIDRO;IMPORTAÇÃO;257360695;129522749
01/02/2017;ETANOL HIDRATADO;IMPORTAÇÃO;1;6428
01/03/2017;ETANOL HIDRATADO;IMPORTAÇÃO;25794;35752
01/03/2017;ETANOL HIDRATADO;EXPORTAÇÃO;10026569;6416214
01/03/2017;ETANOL ANIDRO;EXPORTAÇÃO;44316068;28119407
01/03/2017;ETANOL ANIDRO;IMPORTAÇÃO;291210;148753592
01/04/2017;ETANOL HIDRATADO;IMPORTAÇÃO;2792;21568
01/04/2017;ETANOL HIDRATADO;EXPORTAÇÃO;1608946;1794395
01/04/2017;ETANOL ANIDRO;IMPORTAÇÃO;111924258;55073312
01/04/2017;ETANOL ANIDRO;EXPORTAÇÃO;127220428;74131983
01/05/2017;ETANOL HIDRATADO;IMPORTAÇÃO;2226;15596
01/05/2017;ETANOL HIDRATADO;EXPORTAÇÃO;28488489;15224933
01/05/2017;ETANOL ANIDRO;EXPORTAÇÃO;55510986;31270677
01/05/2017;ETANOL ANIDRO;IMPORTAÇÃO;247989285;123301519
01/06/2017;ETANOL HIDRATADO;EXPORTAÇÃO;57218434;29505738
01/06/2017;ETANOL ANIDRO;EXPORTAÇÃO;103546267;56636293
01/06/2017;ETANOL ANIDRO;IMPORTAÇÃO;199476773;98729069
01/06/2017;ETANOL HIDRATADO;IMPORTAÇÃO;0;2890
01/07/2017;ETANOL HIDRATADO;EXPORTAÇÃO;7498163;3944199
01/07/2017;ETANOL ANIDRO;IMPORTAÇÃO;73817036;35417072
01/07/2017;ETANOL ANIDRO;EXPORTAÇÃO;150415029;76650822
01/07/2017;ETANOL HIDRATADO;IMPORTAÇÃO;1;13205
01/08/2017;ETANOL HIDRATADO;IMPORTAÇÃO;29099;121806
01/08/2017;ETANOL HIDRATADO;EXPORTAÇÃO;85618956;41120327
01/08/2017;ETANOL ANIDRO;EXPORTAÇÃO;91610933;48951262
01/08/2017;ETANOL ANIDRO;IMPORTAÇÃO;135294376;64152646
01/09/2017;ETANOL HIDRATADO;IMPORTAÇÃO;50994;136285
01/09/2017;ETANOL ANIDRO;EXPORTAÇÃO;62688003;34874347
01/09/2017;ETANOL HIDRATADO;EXPORTAÇÃO;80989453;40747097
01/09/2017;ETANOL ANIDRO;IMPORTAÇÃO;109867798;52540437
01/10/2017;ETANOL HIDRATADO;IMPORTAÇÃO;4688;30404
01/10/2017;ETANOL HIDRATADO;EXPORTAÇÃO;39457071;19932813
01/10/2017;ETANOL ANIDRO;IMPORTAÇÃO;91164542;43176979
01/10/2017;ETANOL ANIDRO;EXPORTAÇÃO;114597028;68206771
01/11/2017;ETANOL HIDRATADO;EXPORTAÇÃO;40220255;19758297
